Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
200001CP00079,"8:06am, 21st March 2000",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200001CP00079/,https://api.cyclestreets.net/v2/collisions.location?id=200001CP00079,51.510986,-0.102536
200001CP00131,"6:00pm, 21st March 2000",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200001CP00131/,https://api.cyclestreets.net/v2/collisions.location?id=200001CP00131,51.511196,-0.104401
200001CP00264,"5:58pm, 27th July 2000",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/200001CP00264/,https://api.cyclestreets.net/v2/collisions.location?id=200001CP00264,51.511908,-0.103939
200001CP00309,"1:00pm, 9th August 2000",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200001CP00309/,https://api.cyclestreets.net/v2/collisions.location?id=200001CP00309,51.510995,-0.103112
200001CP00438,"6:15am, 20th November 2000",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200001CP00438/,https://api.cyclestreets.net/v2/collisions.location?id=200001CP00438,51.51147,-0.104678
200101CP00267,"5:55pm, 3rd August 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200101CP00267/,https://api.cyclestreets.net/v2/collisions.location?id=200101CP00267,51.510984,-0.108013
200101CP00420,"1:18pm, 3rd December 2001",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200101CP00420/,https://api.cyclestreets.net/v2/collisions.location?id=200101CP00420,51.511777,-0.106971
200201CP00082,"10:30am, 26th March 2002",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200201CP00082/,https://api.cyclestreets.net/v2/collisions.location?id=200201CP00082,51.511825,-0.104375
200201CP00131,"4:00pm, 21st April 2002",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200201CP00131/,https://api.cyclestreets.net/v2/collisions.location?id=200201CP00131,51.510895,-0.108016
200201CP00234,"9:02pm, 8th August 2002",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200201CP00234/,https://api.cyclestreets.net/v2/collisions.location?id=200201CP00234,51.510945,-0.105564
200201CP00235,"4:30pm, 12th August 2002",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200201CP00235/,https://api.cyclestreets.net/v2/collisions.location?id=200201CP00235,51.511906,-0.103795
200201CP00382,"8:20am, 10th December 2002",slight,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/200201CP00382/,https://api.cyclestreets.net/v2/collisions.location?id=200201CP00382,51.512064,-0.102491
200301CP00008,"10:15am, 29th January 2003",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200301CP00008/,https://api.cyclestreets.net/v2/collisions.location?id=200301CP00008,51.51173,-0.104091
200301CP00022,"6:45pm, 17th February 2003",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200301CP00022/,https://api.cyclestreets.net/v2/collisions.location?id=200301CP00022,51.510971,-0.107149
200301CP00070,"9:30pm, 13th March 2003",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200301CP00070/,https://api.cyclestreets.net/v2/collisions.location?id=200301CP00070,51.510565,-0.104283
200301CP00124,"12:30pm, 7th June 2003",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200301CP00124/,https://api.cyclestreets.net/v2/collisions.location?id=200301CP00124,51.511915,-0.104371
200301CP00281,"1:40pm, 13th November 2003",slight,Cyclist,2,2,https://www.cyclestreets.net/collisions/reports/200301CP00281/,https://api.cyclestreets.net/v2/collisions.location?id=200301CP00281,51.510888,-0.107584
200401CP00198,"2:30pm, 25th August 2004",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200401CP00198/,https://api.cyclestreets.net/v2/collisions.location?id=200401CP00198,51.511915,-0.104371
200401CP00288,"8:50am, 15th November 2004",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200401CP00288/,https://api.cyclestreets.net/v2/collisions.location?id=200401CP00288,51.511645,-0.104382
200501CP00307,"6:10pm, 17th November 2005",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200501CP00307/,https://api.cyclestreets.net/v2/collisions.location?id=200501CP00307,51.512076,-0.103212
200601CP00033,"10:07am, 17th February 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200601CP00033/,https://api.cyclestreets.net/v2/collisions.location?id=200601CP00033,51.510901,-0.102828
200601CP00099,"8:10am, 25th April 2006",serious,Cyclist,2,2,https://www.cyclestreets.net/collisions/reports/200601CP00099/,https://api.cyclestreets.net/v2/collisions.location?id=200601CP00099,51.510924,-0.104268
200601CP00177,"1:10pm, 11th July 2006",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/200601CP00177/,https://api.cyclestreets.net/v2/collisions.location?id=200601CP00177,51.510912,-0.103548
200601CP00238,"4:43pm, 7th September 2006",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200601CP00238/,https://api.cyclestreets.net/v2/collisions.location?id=200601CP00238,51.510896,-0.10254
200601CP00244,"6:37am, 12th September 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200601CP00244/,https://api.cyclestreets.net/v2/collisions.location?id=200601CP00244,51.51182,-0.104087
200601CP00258,"7:50am, 20th September 2006",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200601CP00258/,https://api.cyclestreets.net/v2/collisions.location?id=200601CP00258,51.510901,-0.102828
200601CP00275,"8:25pm, 10th October 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200601CP00275/,https://api.cyclestreets.net/v2/collisions.location?id=200601CP00275,51.510933,-0.104844
200601CP00315,"10:00am, 16th November 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200601CP00315/,https://api.cyclestreets.net/v2/collisions.location?id=200601CP00315,51.511021,-0.104697
