Date,Timestamp,Severity,Number_of_Casualties,Number_of_Vehicles,Latitude,Longitude,Road_conditions,Weather_conditions_,Month,Day,Time,Season,Precipation_0_1,Working_days
2000-03-21,"8:06am, 21st March 2000",Slight,1,2,51.510986,-0.102536,Dry,Clear ,March,Tuesday,08:06:00,Spring,0,working_day
2000-03-21,"6:00pm, 21st March 2000",Slight,1,2,51.511196,-0.104401,Dry,Clear ,March,Tuesday,18:00:00,Spring,0,working_day
2000-07-27,"5:58pm, 27th July 2000",Serious,1,1,51.511908,-0.103939,Dry,Clear ,July,Thursday,17:58:00,Summer,0,working_day
2000-08-09,"1:00pm, 9th August 2000",Slight,1,2,51.510995,-0.103112,Dry,Clear ,August,Wednesday,13:00:00,Summer,0,working_day
2000-11-20,"6:15am, 20th November 2000",Slight,1,2,51.51147,-0.104678,Dry,Clear ,November,Monday,06:15:00,Autumn,0,working_day
2001-08-03,"5:55pm, 3rd August 2001",Slight,1,2,51.510984,-0.108013,Dry,Clear ,August,Friday,17:55:00,Summer,0,pre_weekend
2001-12-03,"1:18pm, 3rd December 2001",Slight,1,2,51.511777,-0.106971,Dry,Clear ,December,Monday,13:18:00,Winter,0,working_day
2002-03-26,"10:30am, 26th March 2002",Slight,1,2,51.511825,-0.104375,Dry,Clear ,March,Tuesday,10:30:00,Spring,0,working_day
2002-04-21,"4:00pm, 21st April 2002",Slight,1,2,51.510895,-0.108016,Dry,Clear ,April,Sunday,16:00:00,Spring,0,weekend
2002-08-08,"9:02pm, 8th August 2002",Slight,1,2,51.510945,-0.105564,Wet,Rain ,August,Thursday,21:02:00,Summer,1,working_day
2002-08-12,"4:30pm, 12th August 2002",Slight,1,2,51.511906,-0.103795,Dry,Clear ,August,Monday,16:30:00,Summer,0,working_day
2002-12-10,"8:20am, 10th December 2002",Slight,1,1,51.512064,-0.102491,Dry,Clear Windy,December,Tuesday,08:20:00,Winter,0,working_day
2003-01-29,"10:15am, 29th January 2003",Slight,1,2,51.51173,-0.104091,Dry,Clear Windy,January,Wednesday,10:15:00,Winter,0,working_day
2003-02-17,"6:45pm, 17th February 2003",Slight,1,2,51.510971,-0.107149,Dry,Clear ,February,Monday,18:45:00,Winter,0,working_day
2003-03-13,"9:30pm, 13th March 2003",Slight,1,2,51.510565,-0.104283,Dry,Clear ,March,Thursday,21:30:00,Spring,0,working_day
2003-06-07,"12:30pm, 7th June 2003",Slight,1,2,51.511915,-0.104371,Dry,Clear ,June,Saturday,12:30:00,Summer,0,weekend
2003-11-13,"1:40pm, 13th November 2003",Slight,2,2,51.510888,-0.107584,Dry,Clear ,November,Thursday,13:40:00,Autumn,0,working_day
2004-08-25,"2:30pm, 25th August 2004",Slight,1,2,51.511915,-0.104371,Wet,Rain ,August,Wednesday,14:30:00,Summer,1,working_day
2004-11-15,"8:50am, 15th November 2004",Slight,1,2,51.511645,-0.104382,Dry,Clear ,November,Monday,08:50:00,Autumn,0,working_day
2005-11-17,"6:10pm, 17th November 2005",Slight,1,2,51.512076,-0.103212,Dry,Clear ,November,Thursday,18:10:00,Autumn,0,working_day
2006-02-17,"10:07am, 17th February 2006",Serious,1,2,51.510901,-0.102828,Dry,Clear ,February,Friday,10:07:00,Winter,0,pre_weekend
2006-04-25,"8:10am, 25th April 2006",Serious,2,2,51.510924,-0.104268,Dry,Clear ,April,Tuesday,08:10:00,Spring,0,working_day
2006-07-11,"1:10pm, 11th July 2006",Serious,1,3,51.510912,-0.103548,Dry,Clear ,July,Tuesday,13:10:00,Summer,0,working_day
2006-09-07,"4:43pm, 7th September 2006",Slight,1,2,51.510896,-0.10254,Dry,Clear ,September,Thursday,16:43:00,Autumn,0,working_day
2006-09-12,"6:37am, 12th September 2006",Serious,1,2,51.51182,-0.104087,Dry,Clear ,September,Tuesday,06:37:00,Autumn,0,working_day
2006-09-20,"7:50am, 20th September 2006",Slight,1,2,51.510901,-0.102828,Dry,Clear ,September,Wednesday,07:50:00,Autumn,0,working_day
2006-10-10,"8:25pm, 10th October 2006",Serious,1,2,51.510933,-0.104844,Dry,Clear ,October,Tuesday,20:25:00,Autumn,0,working_day
2006-11-16,"10:00am, 16th November 2006",Serious,1,2,51.511021,-0.104697,Dry,Clear ,November,Thursday,10:00:00,Autumn,0,working_day
2007-01-08,"8:29am, 8th January 2007",Slight,1,2,51.510898,-0.102684,Wet,Rain Windy,January,Monday,08:29:00,Winter,1,working_day
2007-01-30,"7:40am, 30th January 2007",Fatal,1,2,51.510978,-0.107581,Snow,Snow ,January,Tuesday,07:40:00,Winter,1,working_day
2007-04-17,"11:30am, 17th April 2007",Slight,1,2,51.511818,-0.103943,Dry,Clear ,April,Tuesday,11:30:00,Spring,0,working_day
